Rating,min_salary,max_salary,avg_salary,Company Age,Seniority_code,senior,business,analytics,junior,quality,lead,management,reporting,healthcare,financial,governance,operations,security,warehouse,Role_num,contains_requirements,contains_team,contains_reporting,contains_information,contains_management,contains_skills,Company Offers,num_competitors,State_num,Headquarters_num,Sector_num,Easy_Apply
3.2,37.0,66.0,51.5,64.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,14,1
3.8,37.0,66.0,51.5,132.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.73333333333333,0,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,9,0
3.4,37.0,66.0,51.5,22.0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,72.56227106227107,0,1,1,1,0,1,1,1,71.41159420289856,72.30954631379961,10,0
4.1,37.0,66.0,51.5,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,0,1,1,1,1,0,71.41159420289856,72.30954631379961,10,0
3.9,37.0,66.0,51.5,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.64285714285714,1,1,1,1,0,1,1,1,71.41159420289856,72.30954631379961,13,1
3.9,37.0,66.0,51.5,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,0,1,1,0,71.41159420289856,72.30954631379961,7,0
4.4,37.0,66.0,51.5,24.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,1,1,1,0,71.41159420289856,72.30954631379961,7,0
3.7,37.0,66.0,51.5,111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,0,0,0,1,0,0,1,3,71.41159420289856,72.30954631379961,11,1
4.0,37.0,66.0,51.5,129.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,1,3,71.41159420289856,68.55223880597015,7,0
4.4,37.0,66.0,51.5,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9625,0,1,0,0,0,1,2,2,71.41159420289856,72.30954631379961,3,0
4.0,37.0,66.0,51.5,184.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,4,2,71.41159420289856,72.30954631379961,9,0
3.949198412698412,37.0,66.0,51.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,1,0,1,1,0,73.0,72.30954631379961,3,0
3.7,37.0,66.0,51.5,141.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,0,1,0,2,0,71.41159420289856,72.30954631379961,9,0
3.0,37.0,66.0,51.5,21.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,1,1,1,0,71.41159420289856,72.30954631379961,3,1
3.4,37.0,66.0,51.5,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,0,1,0,1,1,0,73.0,72.30954631379961,7,0
3.6,37.0,66.0,51.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,1,1,1,0,71.41159420289856,72.30954631379961,3,0
3.8,37.0,66.0,51.5,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,1,1,2,3,71.41159420289856,72.30954631379961,3,1
3.8,37.0,66.0,51.5,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9625,0,1,0,1,0,1,1,3,71.41159420289856,72.30954631379961,3,0
3.9,37.0,66.0,51.5,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,1,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,3,0
4.9,37.0,66.0,51.5,19.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,0,1,1,0,71.41159420289856,72.30954631379961,10,0
4.4,37.0,66.0,51.5,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.48591549295774,1,1,0,1,1,1,2,3,71.41159420289856,72.30954631379961,10,0
3.9012321428571433,37.0,66.0,51.5,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,0,1,0,0,0,1,1,0,71.41159420289856,72.30954631379961,3,0
3.3,37.0,66.0,51.5,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.19811320754717,0,1,0,1,0,1,1,3,71.41159420289856,52.375,7,0
3.5,37.0,66.0,51.5,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,0,1,1,1,3,0,71.41159420289856,72.30954631379961,5,0
3.8,37.0,66.0,51.5,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,0,1,0,0,1,1,0,71.41159420289856,72.30954631379961,3,0
4.0,37.0,66.0,51.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,1,0,1,2,0,71.41159420289856,72.30954631379961,3,0
5.0,37.0,66.0,51.5,14.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,1,1,1,0,0,1,1,0,71.41159420289856,72.30954631379961,10,0
4.8,37.0,66.0,51.5,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.48591549295774,0,1,0,1,0,1,2,0,71.41159420289856,72.30954631379961,9,0
3.7,37.0,66.0,51.5,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,1,0,1,0,71.41159420289856,72.30954631379961,3,0
4.7,37.0,66.0,51.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,0,0,1,0,71.41159420289856,72.30954631379961,3,0
3.6,46.0,87.0,66.5,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,3,1
3.6,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,0,0,0,0,0,1,0,73.0,72.30954631379961,10,0
3.5,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,0,0,1,0,71.41159420289856,72.30954631379961,3,0
3.2,46.0,87.0,66.5,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,0,1,0,1,1,1,1,0,71.41159420289856,72.30954631379961,7,0
3.8603166666666664,46.0,87.0,66.5,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,0,0,1,1,0,71.41159420289856,72.30954631379961,3,0
3.7,46.0,87.0,66.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,2,0,71.41159420289856,72.30954631379961,7,0
4.3306666666666676,46.0,87.0,66.5,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.65079365079364,1,1,1,1,0,0,1,0,71.41159420289856,72.30954631379961,3,0
3.6,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,1,1,1,0,71.41159420289856,72.30954631379961,10,0
4.0,46.0,87.0,66.5,184.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,0,1,0,1,0,1,4,2,71.41159420289856,72.30954631379961,9,0
4.6,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,0,1,1,0,71.41159420289856,72.30954631379961,14,0
3.889599422799422,46.0,87.0,66.5,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.65079365079364,0,1,0,1,1,1,1,0,71.41159420289856,72.30954631379961,3,0
3.890071428571426,46.0,87.0,66.5,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,1,1,1,0,71.41159420289856,68.55223880597015,3,0
5.0,46.0,87.0,66.5,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,1,1,1,0,71.41159420289856,72.30954631379961,3,0
4.0,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,0,0,1,1,1,5,0,71.41159420289856,72.30954631379961,3,0
3.0,46.0,87.0,66.5,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,0,0,1,1,1,3,71.41159420289856,72.30954631379961,10,0
2.9,46.0,87.0,66.5,69.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,0,1,0,1,1,3,0,71.41159420289856,72.30954631379961,3,0
4.0,46.0,87.0,66.5,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,0,1,1,2,0,71.41159420289856,72.30954631379961,3,0
3.6,46.0,87.0,66.5,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,1,3,71.41159420289856,72.30954631379961,3,1
4.9,46.0,87.0,66.5,35.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.64285714285714,1,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,7,0
