=== Correlació numèrica ===

            Unnamed: 0  Rating  Founded
Unnamed: 0       1.000   0.044    0.052
Rating           0.044   1.000    0.500
Founded          0.052   0.500    1.000

=== Correlació categòrica (Cramér's V) ===

                   Job Title  Salary Estimate  Job Description  Company Name  Location  Headquarters   Size  Type of ownership  Industry  Sector  Revenue  Competitors  Easy Apply
Job Title              1.000            0.790              1.0         0.823     0.789         0.762  0.766              0.747     0.775   0.741    0.771        0.755       0.740
Salary Estimate        0.790            1.000              1.0         0.833     0.585         0.517  0.210              0.232     0.214   0.222    0.223        0.353       0.229
Job Description        1.000            1.000              1.0         1.000     1.000         1.000  1.000              1.000     1.000   1.000    1.000        1.000       1.000
Company Name           0.823            0.833              1.0         1.000     0.911         1.000  1.000              1.000     1.000   1.000    1.000        1.000       0.997
Location               0.789            0.585              1.0         0.911     1.000         0.674  0.368              0.476     0.447   0.446    0.383        0.409       0.273
Headquarters           0.762            0.517              1.0         1.000     0.674         1.000  0.700              0.717     0.635   0.674    0.707        0.566       0.572
Size                   0.766            0.210              1.0         1.000     0.368         0.700  1.000              0.448     0.386   0.327    0.546        0.461       0.149
Type of ownership      0.747            0.232              1.0         1.000     0.476         0.717  0.448              1.000     0.523   0.423    0.350        0.385       0.163
Industry               0.775            0.214              1.0         1.000     0.447         0.635  0.386              0.523     1.000   1.000    0.377        0.561       0.271
Sector                 0.741            0.222              1.0         1.000     0.446         0.674  0.327              0.423     1.000   1.000    0.286        0.500       0.167
Revenue                0.771            0.223              1.0         1.000     0.383         0.707  0.546              0.350     0.377   0.286    1.000        0.504       0.154
Competitors            0.755            0.353              1.0         1.000     0.409         0.566  0.461              0.385     0.561   0.500    0.504        1.000       0.588
Easy Apply             0.740            0.229              1.0         0.997     0.273         0.572  0.149              0.163     0.271   0.167    0.154        0.588       0.994
